wind_plant,wind_speed (m/s),wind_dir,temp,pressure,latitude,longitude,Turbine Model,Tower Height,Rotor Diameter,Production Year,START m/s,STOP  m/s,Real Prod(mwh),Service,MaxLimit,pred4
Unit1,4.8,228,2.2,992,48.212883,27.696193,3,69,60,1999,2.5,25,,0.0,1.3,0.1067159999999914
Unit1,5.0,247,2.1,992,48.212883,27.696193,3,69,60,1999,2.5,25,,0.0,1.3,0.103581999999853
Unit1,5.3,265,2.2,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0887999999995372,0.0,1.3,0.0887999999995372
Unit1,5.7,280,2.4,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0672000000013213,0.0,1.3,0.0672000000013213
Unit1,5.8,291,2.6,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.1089999999985593,0.0,1.3,0.1089999999985593
Unit1,6.1,295,2.9,991,48.212883,27.696193,3,69,60,1999,2.5,25,0.0940000000009604,0.0,1.3,0.0940000000009604
Unit1,6.8,292,3.6,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1059999999997671,0.0,1.3,0.1059999999997671
Unit1,7.6,289,4.4,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.1610000000000582,0.0,1.3,0.1610000000000582
Unit1,7.7,293,5.1,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.3461999999999534,0.0,1.3,0.3461999999999534
Unit1,7.5,300,6.3,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.2441999999991821,0.0,1.3,0.2441999999991821
Unit1,8.0,305,7.9,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.289600000000064,0.0,1.3,0.289600000000064
Unit1,7.4,305,9.3,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.4976000000006024,0.0,1.3,0.4976000000006024
Unit1,6.1,304,10.3,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.3016000000006897,0.0,1.3,0.3016000000006897
Unit1,5.7,305,10.7,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.2834000000002561,0.0,1.3,0.2834000000002561
Unit1,5.6,305,10.7,992,48.212883,27.696193,3,69,60,1999,2.5,25,0.5921999999991385,0.0,1.3,0.5921999999991385
Unit1,5.9,306,9.8,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.3862000000008265,0.0,1.3,0.3862000000008265
Unit1,6.4,305,8.4,993,48.212883,27.696193,3,69,60,1999,2.5,25,0.5901999999987311,0.0,1.3,0.5901999999987311
Unit1,6.9,304,7.4,993,48.212883,27.696193,3,69,60,1999,2.5,25,1.0580000000009022,0.0,1.3,1.0580000000009022
Unit1,7.2,307,6.9,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.732399999998961,0.0,1.3,0.732399999998961
Unit1,7.4,312,6.5,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.3330000000005384,0.0,1.3,0.3330000000005384
Unit1,7.4,318,6.2,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.2666000000008353,0.0,1.3,0.2666000000008353
Unit1,7.5,323,6.6,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.2927999999992607,0.0,1.3,0.2927999999992607
Unit1,7.3,326,6.8,994,48.212883,27.696193,3,69,60,1999,2.5,25,0.2754000000004453,0.0,1.3,0.2754000000004453
Unit1,7.5,321,6.1,995,48.212883,27.696193,3,69,60,1999,2.5,25,0.3796000000002095,0.0,1.3,0.3796000000002095
Unit1,6.4,318,6.1,995,48.212883,27.696193,3,69,60,1999,2.5,25,0.5903999999991356,0.0,1.3,0.5903999999991356
Unit1,7.0,320,6.0,995,48.212883,27.696193,3,69,60,1999,2.5,25,0.4765999999999621,0.0,1.3,0.4765999999999621
Unit1,6.8,320,5.2,995,48.212883,27.696193,3,69,60,1999,2.5,25,0.3070000000006985,0.0,1.3,0.3070000000006985
Unit1,6.9,317,4.9,995,48.212883,27.696193,3,69,60,1999,2.5,25,0.4997999999995954,0.0,1.3,0.4997999999995954
Unit1,7.1,317,4.3,995,48.212883,27.696193,3,69,60,1999,2.5,25,0.3557999999993626,0.0,1.3,0.3557999999993626
Unit1,7.2,320,3.8,996,48.212883,27.696193,3,69,60,1999,2.5,25,0.2928000000010797,0.0,1.3,0.2928000000010797
Unit1,6.7,320,3.3,996,48.212883,27.696193,3,69,60,1999,2.5,25,0.1219999999993888,0.0,1.3,0.1219999999993888
Unit1,6.6,322,3.1,996,48.212883,27.696193,3,69,60,1999,2.5,25,0.1026000000001658,0.0,1.3,0.1026000000001658
Unit1,6.4,317,1.5,997,48.212883,27.696193,3,69,60,1999,2.5,25,0.1787999999996827,0.0,1.3,0.1787999999996827
Unit1,5.0,329,3.2,997,48.212883,27.696193,3,69,60,1999,2.5,25,0.1908000000003085,0.0,1.3,0.1908000000003085
